==================== 2026-05-24T20:58:32.450080Z | 1e259141-0a8a-4a3e-842f-64c6fc1c86b6 ====================
21:10:45.321662 [info ]: Loading ~/.dbt/profiles.yml
21:10:46.333147 [info ]: Loading ~/.dbt/profiles.yml
21:10:46.824029 [info ]: Loading ~/.dbt/profiles.yml
21:10:47.822837 [info ]: Loading ~/.dbt/profiles.yml
21:10:48.549082 [info ]: Loading ~/.dbt/profiles.yml
21:10:48.820447 [info ]: Loading ~/.dbt/profiles.yml
21:10:49.336375 [info ]: Loading ~/.dbt/profiles.yml
21:10:50.336121 [info ]: Loading ~/.dbt/profiles.yml
21:10:50.825994 [info ]: Loading ~/.dbt/profiles.yml
21:10:51.831285 [info ]: Loading ~/.dbt/profiles.yml
21:10:52.321742 [info ]: Loading ~/.dbt/profiles.yml
21:10:52.913964 [info ]: Loading ~/.dbt/profiles.yml
21:10:53.326530 [info ]: Loading ~/.dbt/profiles.yml
21:10:53.831127 [info ]: Loading ~/.dbt/profiles.yml
21:10:54.344892 [info ]: Loading ~/.dbt/profiles.yml
21:10:54.922465 [info ]: Loading ~/.dbt/profiles.yml
21:10:55.334770 [info ]: Loading ~/.dbt/profiles.yml
21:10:55.838600 [info ]: Loading ~/.dbt/profiles.yml
21:10:56.345953 [info ]: Loading ~/.dbt/profiles.yml
21:10:56.839480 [info ]: Loading ~/.dbt/profiles.yml
21:10:57.859117 [info ]: Loading ~/.dbt/profiles.yml
21:10:58.563271 [info ]: Loading ~/.dbt/profiles.yml
21:10:58.989414 [info ]: Loading ~/.dbt/profiles.yml
21:10:59.988900 [info ]: Loading ~/.dbt/profiles.yml
21:11:00.481099 [info ]: Loading ~/.dbt/profiles.yml
21:11:00.979348 [info ]: Loading ~/.dbt/profiles.yml
21:11:01.630635 [info ]: Loading ~/.dbt/profiles.yml
21:11:02.039721 [info ]: Loading ~/.dbt/profiles.yml
21:11:02.535524 [info ]: Loading ~/.dbt/profiles.yml
21:11:03.536062 [info ]: Loading ~/.dbt/profiles.yml
21:11:04.038893 [info ]: Loading ~/.dbt/profiles.yml
21:11:04.539902 [info ]: Loading ~/.dbt/profiles.yml
21:11:05.053669 [info ]: Loading ~/.dbt/profiles.yml
21:11:05.540025 [info ]: Loading ~/.dbt/profiles.yml
21:11:06.116519 [info ]: Loading ~/.dbt/profiles.yml
21:11:06.541343 [info ]: Loading ~/.dbt/profiles.yml
21:11:07.030032 [info ]: Loading ~/.dbt/profiles.yml
21:11:07.529807 [info ]: Loading ~/.dbt/profiles.yml
21:11:08.043994 [info ]: Loading ~/.dbt/profiles.yml
21:11:08.533208 [info ]: Loading ~/.dbt/profiles.yml
21:11:09.045853 [info ]: Loading ~/.dbt/profiles.yml
21:11:09.542305 [info ]: Loading ~/.dbt/profiles.yml
21:11:10.047905 [info ]: Loading ~/.dbt/profiles.yml
21:11:10.538400 [info ]: Loading ~/.dbt/profiles.yml
21:11:10.837110 [info ]: Loading ~/.dbt/profiles.yml
21:11:11.402208 [info ]: Loading ~/.dbt/profiles.yml
21:11:11.849678 [info ]: Loading ~/.dbt/profiles.yml
21:11:12.340003 [info ]: Loading ~/.dbt/profiles.yml
21:11:12.851855 [info ]: Loading ~/.dbt/profiles.yml
21:11:13.364293 [info ]: Loading ~/.dbt/profiles.yml
21:11:13.843843 [info ]: Loading ~/.dbt/profiles.yml
21:11:14.347762 [info ]: Loading ~/.dbt/profiles.yml
21:11:14.853463 [info ]: Loading ~/.dbt/profiles.yml
21:11:15.358805 [info ]: Loading ~/.dbt/profiles.yml
21:11:15.839297 [info ]: Loading ~/.dbt/profiles.yml
21:11:16.351403 [info ]: Loading ~/.dbt/profiles.yml
21:11:16.847564 [info ]: Loading ~/.dbt/profiles.yml
21:11:17.354747 [info ]: Loading ~/.dbt/profiles.yml
21:11:17.855928 [info ]: Loading ~/.dbt/profiles.yml
21:11:18.368895 [info ]: Loading ~/.dbt/profiles.yml
21:11:18.846300 [info ]: Loading ~/.dbt/profiles.yml
21:11:19.363075 [info ]: Loading ~/.dbt/profiles.yml
21:11:19.865624 [info ]: Loading ~/.dbt/profiles.yml
21:11:20.361352 [info ]: Loading ~/.dbt/profiles.yml
21:11:20.859173 [info ]: Loading ~/.dbt/profiles.yml
21:11:21.359439 [info ]: Loading ~/.dbt/profiles.yml
21:11:21.857492 [info ]: Loading ~/.dbt/profiles.yml
21:11:22.357198 [info ]: Loading ~/.dbt/profiles.yml
21:11:22.861098 [info ]: Loading ~/.dbt/profiles.yml
21:11:23.376817 [info ]: Loading ~/.dbt/profiles.yml
21:11:23.856887 [info ]: Loading ~/.dbt/profiles.yml
21:11:24.365493 [info ]: Loading ~/.dbt/profiles.yml
21:11:24.877625 [info ]: Loading ~/.dbt/profiles.yml
21:11:25.376414 [info ]: Loading ~/.dbt/profiles.yml
21:11:25.869305 [info ]: Loading ~/.dbt/profiles.yml
21:11:26.371767 [info ]: Loading ~/.dbt/profiles.yml
21:11:26.876104 [info ]: Loading ~/.dbt/profiles.yml
21:11:27.370169 [info ]: Loading ~/.dbt/profiles.yml
21:11:27.854481 [info ]: Loading ~/.dbt/profiles.yml
21:11:28.193327 [info ]: Loading ~/.dbt/profiles.yml
21:12:03.341996 [info ]: Loading ~/.dbt/profiles.yml
21:12:03.848989 [info ]: Loading ~/.dbt/profiles.yml
21:12:04.364071 [info ]: Loading ~/.dbt/profiles.yml
21:12:04.855824 [info ]: Loading ~/.dbt/profiles.yml
21:12:05.356689 [info ]: Loading ~/.dbt/profiles.yml
21:12:05.848563 [info ]: Loading ~/.dbt/profiles.yml
21:12:06.359035 [info ]: Loading ~/.dbt/profiles.yml
21:12:06.850063 [info ]: Loading ~/.dbt/profiles.yml
21:12:07.361880 [info ]: Loading ~/.dbt/profiles.yml
21:12:07.865846 [info ]: Loading ~/.dbt/profiles.yml
21:12:08.368402 [info ]: Loading ~/.dbt/profiles.yml
21:12:08.863336 [info ]: Loading ~/.dbt/profiles.yml
21:12:09.362715 [info ]: Loading ~/.dbt/profiles.yml
21:12:09.877769 [info ]: Loading ~/.dbt/profiles.yml
21:12:10.377247 [info ]: Loading ~/.dbt/profiles.yml
21:12:10.876653 [info ]: Loading ~/.dbt/profiles.yml
21:12:11.371333 [info ]: Loading ~/.dbt/profiles.yml
21:12:11.887825 [info ]: Loading ~/.dbt/profiles.yml
21:12:12.384198 [info ]: Loading ~/.dbt/profiles.yml
21:12:12.879920 [info ]: Loading ~/.dbt/profiles.yml
21:12:13.387938 [info ]: Loading ~/.dbt/profiles.yml
21:12:13.877106 [info ]: Loading ~/.dbt/profiles.yml
21:12:14.399173 [info ]: Loading ~/.dbt/profiles.yml
21:12:14.882711 [info ]: Loading ~/.dbt/profiles.yml
21:12:15.394641 [info ]: Loading ~/.dbt/profiles.yml
21:12:15.903336 [info ]: Loading ~/.dbt/profiles.yml
21:12:16.405622 [info ]: Loading ~/.dbt/profiles.yml
21:12:16.911216 [info ]: Loading ~/.dbt/profiles.yml
21:12:17.400188 [info ]: Loading ~/.dbt/profiles.yml
21:12:17.894744 [info ]: Loading ~/.dbt/profiles.yml
21:12:18.394743 [info ]: Loading ~/.dbt/profiles.yml
21:12:18.906392 [info ]: Loading ~/.dbt/profiles.yml
21:12:19.405437 [info ]: Loading ~/.dbt/profiles.yml
21:12:19.919803 [info ]: Loading ~/.dbt/profiles.yml
21:12:20.414322 [info ]: Loading ~/.dbt/profiles.yml
21:12:20.914512 [info ]: Loading ~/.dbt/profiles.yml
21:12:21.406017 [info ]: Loading ~/.dbt/profiles.yml
21:12:21.916713 [info ]: Loading ~/.dbt/profiles.yml
21:12:22.421153 [info ]: Loading ~/.dbt/profiles.yml
21:12:22.924197 [info ]: Loading ~/.dbt/profiles.yml
21:12:23.427210 [info ]: Loading ~/.dbt/profiles.yml
21:12:23.917691 [info ]: Loading ~/.dbt/profiles.yml
21:12:24.411892 [info ]: Loading ~/.dbt/profiles.yml
21:12:24.932949 [info ]: Loading ~/.dbt/profiles.yml
21:12:25.428646 [info ]: Loading ~/.dbt/profiles.yml
21:12:25.926639 [info ]: Loading ~/.dbt/profiles.yml
21:12:26.421830 [info ]: Loading ~/.dbt/profiles.yml
21:12:26.920858 [info ]: Loading ~/.dbt/profiles.yml
21:12:27.427108 [info ]: Loading ~/.dbt/profiles.yml
21:12:27.927557 [info ]: Loading ~/.dbt/profiles.yml
21:12:28.437143 [info ]: Loading ~/.dbt/profiles.yml
21:12:28.930942 [info ]: Loading ~/.dbt/profiles.yml
21:12:29.421720 [info ]: Loading ~/.dbt/profiles.yml
21:12:29.922773 [info ]: Loading ~/.dbt/profiles.yml
21:12:30.427583 [info ]: Loading ~/.dbt/profiles.yml
21:12:31.229184 [info ]: Loading ~/.dbt/profiles.yml
21:17:33.339904 [info ]: Loading ~/.dbt/profiles.yml
21:18:26.135328 [info ]: Loading ~/.dbt/profiles.yml
21:18:33.647284 [info ]: Loading ~/.dbt/profiles.yml
21:18:45.411474 [info ]: Loading ~/.dbt/profiles.yml
21:18:55.602301 [info ]: Loading ~/.dbt/profiles.yml
21:21:59.424625 [info ]: Loading ~/.dbt/profiles.yml
21:22:31.684454 [info ]: Loading ~/.dbt/profiles.yml
21:23:21.651883 [info ]: Loading ~/.dbt/profiles.yml
21:23:45.410139 [info ]: Loading ~/.dbt/profiles.yml
21:26:11.618604 [info ]: Loading ~/.dbt/profiles.yml
21:26:12.658876 [info ]: Loading ~/.dbt/profiles.yml
21:26:13.172958 [info ]: Loading ~/.dbt/profiles.yml
21:26:13.879474 [info ]: Loading ~/.dbt/profiles.yml
21:26:14.401159 [info ]: Loading ~/.dbt/profiles.yml
21:26:14.882376 [info ]: Loading ~/.dbt/profiles.yml
21:28:13.436663 [info ]: Loading ~/.dbt/profiles.yml
21:28:23.348532 [info ]: Loading ~/.dbt/profiles.yml
21:28:24.271304 [info ]: Loading ~/.dbt/profiles.yml
21:28:35.524732 [info ]: Loading ~/.dbt/profiles.yml
21:28:38.425178 [info ]: Loading ~/.dbt/profiles.yml
21:28:41.690246 [info ]: Loading ~/.dbt/profiles.yml
21:28:51.881446 [info ]: Loading ~/.dbt/profiles.yml
21:28:52.408693 [info ]: Loading ~/.dbt/profiles.yml
21:28:52.895083 [info ]: Loading ~/.dbt/profiles.yml
21:28:53.403780 [info ]: Loading ~/.dbt/profiles.yml
21:28:53.906749 [info ]: Loading ~/.dbt/profiles.yml
21:28:54.421035 [info ]: Loading ~/.dbt/profiles.yml
21:28:54.985708 [info ]: Loading ~/.dbt/profiles.yml
21:28:55.912968 [info ]: Loading ~/.dbt/profiles.yml
21:28:56.404637 [info ]: Loading ~/.dbt/profiles.yml
21:28:56.919742 [info ]: Loading ~/.dbt/profiles.yml
21:28:57.422877 [info ]: Loading ~/.dbt/profiles.yml
21:28:57.903743 [info ]: Loading ~/.dbt/profiles.yml
21:28:58.414914 [info ]: Loading ~/.dbt/profiles.yml
21:28:58.918178 [info ]: Loading ~/.dbt/profiles.yml
21:28:59.421641 [info ]: Loading ~/.dbt/profiles.yml
21:28:59.925327 [info ]: Loading ~/.dbt/profiles.yml
21:29:00.423430 [info ]: Loading ~/.dbt/profiles.yml
21:29:00.928380 [info ]: Loading ~/.dbt/profiles.yml
21:29:01.424901 [info ]: Loading ~/.dbt/profiles.yml
21:29:01.923660 [info ]: Loading ~/.dbt/profiles.yml
21:29:02.423445 [info ]: Loading ~/.dbt/profiles.yml
21:29:02.918947 [info ]: Loading ~/.dbt/profiles.yml
21:29:03.428724 [info ]: Loading ~/.dbt/profiles.yml
21:29:03.915443 [info ]: Loading ~/.dbt/profiles.yml
21:29:04.426187 [info ]: Loading ~/.dbt/profiles.yml
21:29:04.927792 [info ]: Loading ~/.dbt/profiles.yml
21:29:05.423941 [info ]: Loading ~/.dbt/profiles.yml
21:29:05.929607 [info ]: Loading ~/.dbt/profiles.yml
21:29:06.435273 [info ]: Loading ~/.dbt/profiles.yml
21:29:06.919799 [info ]: Loading ~/.dbt/profiles.yml
21:29:07.458524 [info ]: Loading ~/.dbt/profiles.yml
21:29:07.945143 [info ]: Loading ~/.dbt/profiles.yml
21:29:08.438611 [info ]: Loading ~/.dbt/profiles.yml
21:29:08.941034 [info ]: Loading ~/.dbt/profiles.yml
21:29:09.423902 [info ]: Loading ~/.dbt/profiles.yml
21:29:10.470292 [info ]: Loading ~/.dbt/profiles.yml
21:29:10.978251 [info ]: Loading ~/.dbt/profiles.yml
21:29:11.462239 [info ]: Loading ~/.dbt/profiles.yml
21:29:11.974166 [info ]: Loading ~/.dbt/profiles.yml
21:29:12.471267 [info ]: Loading ~/.dbt/profiles.yml
21:29:13.027095 [info ]: Loading ~/.dbt/profiles.yml
21:29:13.464085 [info ]: Loading ~/.dbt/profiles.yml
21:29:13.972128 [info ]: Loading ~/.dbt/profiles.yml
21:29:14.530858 [info ]: Loading ~/.dbt/profiles.yml
21:29:25.230660 [info ]: Loading ~/.dbt/profiles.yml
21:29:25.756882 [info ]: Loading ~/.dbt/profiles.yml
21:29:26.770009 [info ]: Loading ~/.dbt/profiles.yml
21:29:27.769347 [info ]: Loading ~/.dbt/profiles.yml
21:29:28.761918 [info ]: Loading ~/.dbt/profiles.yml
21:29:29.768159 [info ]: Loading ~/.dbt/profiles.yml
21:29:30.262732 [info ]: Loading ~/.dbt/profiles.yml
21:29:30.873830 [info ]: Loading ~/.dbt/profiles.yml
21:29:31.300911 [info ]: Loading ~/.dbt/profiles.yml
21:29:32.294659 [info ]: Loading ~/.dbt/profiles.yml
21:29:32.731002 [info ]: Loading ~/.dbt/profiles.yml
21:29:33.227060 [info ]: Loading ~/.dbt/profiles.yml
21:29:34.237002 [info ]: Loading ~/.dbt/profiles.yml
21:29:35.241339 [info ]: Loading ~/.dbt/profiles.yml
21:29:36.236864 [info ]: Loading ~/.dbt/profiles.yml
21:29:37.233840 [info ]: Loading ~/.dbt/profiles.yml
21:29:38.226260 [info ]: Loading ~/.dbt/profiles.yml
21:29:39.251214 [info ]: Loading ~/.dbt/profiles.yml
21:29:39.738157 [info ]: Loading ~/.dbt/profiles.yml
21:29:40.238686 [info ]: Loading ~/.dbt/profiles.yml
21:29:41.240208 [info ]: Loading ~/.dbt/profiles.yml
21:29:42.241540 [info ]: Loading ~/.dbt/profiles.yml
21:29:43.244772 [info ]: Loading ~/.dbt/profiles.yml
21:29:44.277865 [info ]: Loading ~/.dbt/profiles.yml
21:29:44.737879 [info ]: Loading ~/.dbt/profiles.yml
21:29:45.183713 [info ]: Loading ~/.dbt/profiles.yml
21:29:45.693375 [info ]: Loading ~/.dbt/profiles.yml
21:29:46.199408 [info ]: Loading ~/.dbt/profiles.yml
21:29:47.192216 [info ]: Loading ~/.dbt/profiles.yml
21:29:48.310451 [info ]: Loading ~/.dbt/profiles.yml
21:29:49.323616 [info ]: Loading ~/.dbt/profiles.yml
21:29:49.924730 [info ]: Loading ~/.dbt/profiles.yml
21:29:50.326443 [info ]: Loading ~/.dbt/profiles.yml
21:29:50.825960 [info ]: Loading ~/.dbt/profiles.yml
21:29:51.314552 [info ]: Loading ~/.dbt/profiles.yml
21:29:51.826951 [info ]: Loading ~/.dbt/profiles.yml
21:29:52.329256 [info ]: Loading ~/.dbt/profiles.yml
21:29:52.819053 [info ]: Loading ~/.dbt/profiles.yml
21:29:53.456428 [info ]: Loading ~/.dbt/profiles.yml
21:29:53.824803 [info ]: Loading ~/.dbt/profiles.yml
21:29:54.320816 [info ]: Loading ~/.dbt/profiles.yml
21:29:54.823957 [info ]: Loading ~/.dbt/profiles.yml
21:29:55.329738 [info ]: Loading ~/.dbt/profiles.yml
21:29:56.347542 [info ]: Loading ~/.dbt/profiles.yml
21:29:57.441693 [info ]: Loading ~/.dbt/profiles.yml
21:29:58.454547 [info ]: Loading ~/.dbt/profiles.yml
21:29:58.948022 [info ]: Loading ~/.dbt/profiles.yml
21:29:59.450062 [info ]: Loading ~/.dbt/profiles.yml
21:30:00.463327 [info ]: Loading ~/.dbt/profiles.yml
21:30:00.951990 [info ]: Loading ~/.dbt/profiles.yml
21:30:01.454367 [info ]: Loading ~/.dbt/profiles.yml
21:30:02.453557 [info ]: Loading ~/.dbt/profiles.yml
21:30:02.962298 [info ]: Loading ~/.dbt/profiles.yml
21:30:03.965956 [info ]: Loading ~/.dbt/profiles.yml
21:30:04.595002 [info ]: Loading ~/.dbt/profiles.yml
21:30:05.108503 [info ]: Loading ~/.dbt/profiles.yml
21:30:05.616071 [info ]: Loading ~/.dbt/profiles.yml
21:30:06.235291 [info ]: Loading ~/.dbt/profiles.yml
21:30:06.812076 [info ]: Loading ~/.dbt/profiles.yml
21:30:08.255655 [info ]: Loading ~/.dbt/profiles.yml
21:30:09.270565 [info ]: Loading ~/.dbt/profiles.yml
21:30:09.988465 [info ]: Loading ~/.dbt/profiles.yml
21:30:10.263064 [info ]: Loading ~/.dbt/profiles.yml
21:30:10.561119 [info ]: Loading ~/.dbt/profiles.yml
21:30:11.074257 [info ]: Loading ~/.dbt/profiles.yml
21:30:11.576339 [info ]: Loading ~/.dbt/profiles.yml
21:30:12.075128 [info ]: Loading ~/.dbt/profiles.yml
21:30:12.575949 [info ]: Loading ~/.dbt/profiles.yml
21:30:13.080483 [info ]: Loading ~/.dbt/profiles.yml
21:30:13.666767 [info ]: Loading ~/.dbt/profiles.yml
21:30:14.083376 [info ]: Loading ~/.dbt/profiles.yml
21:30:14.571828 [info ]: Loading ~/.dbt/profiles.yml
21:30:15.072384 [info ]: Loading ~/.dbt/profiles.yml
21:30:15.584504 [info ]: Loading ~/.dbt/profiles.yml
21:30:16.075784 [info ]: Loading ~/.dbt/profiles.yml
21:30:16.583719 [info ]: Loading ~/.dbt/profiles.yml
21:30:17.260424 [info ]: Loading ~/.dbt/profiles.yml
21:30:17.574927 [info ]: Loading ~/.dbt/profiles.yml
21:30:18.075445 [info ]: Loading ~/.dbt/profiles.yml
21:30:18.704462 [info ]: Loading ~/.dbt/profiles.yml
21:30:19.078544 [info ]: Loading ~/.dbt/profiles.yml
21:30:19.581861 [info ]: Loading ~/.dbt/profiles.yml
21:30:20.077054 [info ]: Loading ~/.dbt/profiles.yml
21:30:20.588584 [info ]: Loading ~/.dbt/profiles.yml
21:30:20.953573 [info ]: Loading ~/.dbt/profiles.yml
21:30:21.444692 [info ]: Loading ~/.dbt/profiles.yml
21:30:21.947565 [info ]: Loading ~/.dbt/profiles.yml
21:30:22.453783 [info ]: Loading ~/.dbt/profiles.yml
21:30:22.955367 [info ]: Loading ~/.dbt/profiles.yml
21:30:23.446708 [info ]: Loading ~/.dbt/profiles.yml
21:30:23.960206 [info ]: Loading ~/.dbt/profiles.yml
21:30:24.463208 [info ]: Loading ~/.dbt/profiles.yml
21:30:24.961670 [info ]: Loading ~/.dbt/profiles.yml
21:30:25.541228 [info ]: Loading ~/.dbt/profiles.yml
21:30:25.954629 [info ]: Loading ~/.dbt/profiles.yml
21:30:26.957487 [info ]: Loading ~/.dbt/profiles.yml
21:30:27.956286 [info ]: Loading ~/.dbt/profiles.yml
21:30:28.657603 [info ]: Loading ~/.dbt/profiles.yml
21:30:28.963207 [info ]: Loading ~/.dbt/profiles.yml
21:30:29.471002 [info ]: Loading ~/.dbt/profiles.yml
21:30:29.965838 [info ]: Loading ~/.dbt/profiles.yml
21:30:30.469672 [info ]: Loading ~/.dbt/profiles.yml
21:30:30.956852 [info ]: Loading ~/.dbt/profiles.yml
21:30:31.463549 [info ]: Loading ~/.dbt/profiles.yml
21:30:31.973154 [info ]: Loading ~/.dbt/profiles.yml
21:30:32.451727 [info ]: Loading ~/.dbt/profiles.yml
21:30:32.973490 [info ]: Loading ~/.dbt/profiles.yml
21:30:33.976923 [info ]: Loading ~/.dbt/profiles.yml
21:30:34.474609 [info ]: Loading ~/.dbt/profiles.yml
21:30:34.957834 [info ]: Loading ~/.dbt/profiles.yml
21:30:35.468033 [info ]: Loading ~/.dbt/profiles.yml
21:30:35.961466 [info ]: Loading ~/.dbt/profiles.yml
21:30:36.434776 [info ]: Loading ~/.dbt/profiles.yml
